0,pop,rap,rock,urbano latino,hip hop,trap latino,dance pop,reggaeton,modern rock,latin pop,classic rock,musica mexicana,pov: indie,permanent wave,alternative metal,corrido,trap,filmi,nueva musica mexicana,k-pop,album rock,edm,contemporary country,soft rock,pop rap,norteno,pop dance,hard rock,sierreno,canadian pop,sad sierreno,mellow gold,uk pop,nu metal,desi pop,country,melodic rap,post-grunge,modern bollywood,banda,alternative rock,sertanejo universitario,art pop,singer-songwriter,country road,atl hip hop,colombian pop,corridos tumbados,french hip hop,urban contemporary,alt z,reggaeton colombiano,arrocha,pop urbaine,southern hip hop,mexican pop,indietronica,sertanejo,latin alternative,gangster rap,k-pop girl group,pop punk,j-pop,rock en espanol,new wave pop,ranchera,german hip hop,chicago rap,k-pop boy group,soul,heartland rock,electro house,neo mellow,italian pop,latin hip hop,latin arena pop,agronejo,latin rock,electropop,pop rock,canadian hip hop,uk dance,conscious hip hop,rap metal,new wave,house,indonesian pop,modern alternative rock,toronto rap,folk rock,indie rock,trap argentino,new romantic,metal,bedroom pop,east coast hip hop,indie pop,italian hip hop,afrobeats,post-teen pop,west coast rap,turkish pop,slap house,miami hip hop,boy band,spanish pop,cloud rap,trap brasileiro,glam metal,punjabi pop,modern country pop,neo soul,hoerspiel,stomp and holler,progressive house,glam rock,progressive electro house,puerto rican pop,country rock,viral pop,rage rap,underground hip hop,piano rock,talent show,synthpop,nigerian pop,dark trap,punk,swedish pop,rap francais,desi hip hop,argentine rock,tropical,psychedelic rock,ccm,big room,grupera,garage rock,tropical house,opm,italian adult pop,detroit hip hop,hip pop,art rock,german pop,modern country rock,sped up,metropopolis,argentine hip hop,europop,mpb,sleep,folk,adult standards,yacht rock,urbano espanol,dance rock,anime,mexican hip hop,brostep,indie folk,chamber pop,british soul,trap triste,disco,polish hip hop,j-rock,metalcore,emo rap,gen z singer-songwriter,folk-pop,indie soul,mexican rock,classical,uk hip hop,pluggnb,blues rock,grunge,christian music,funk metal,reggaeton flow,vocal jazz,drift phonk,turkish rock,alternative hip hop,trap boricua,funk carioca,memphis hip hop,mariachi,melodic metalcore,pop nacional,trap italiana,salsa,dirty south rap,electronica,pop soul,beatlesque,british invasion,pagode,pop reggaeton,dfw rap,indie poptimism,funk,melancholia,soundtrack,g funk,australian pop,rap conscient,queens hip hop,worship,hardcore hip hop,french pop,christian alternative rock,mandopop,outlaw country,quiet storm,brazilian gospel,trap queen,bolero,rain,rock-and-roll,orchestral soundtrack,cantautor,motown,classic soul,japanese teen pop,bachata,progressive rock,eurodance,cali rap,new orleans rap,funk rock,brazilian rock,barbadian pop,emo,white noise,reggae fusion,dream pop,australian dance,gruperas inmortales,brazilian hip hop,spanish hip hop,florida rap,pagode novo,funk mtg,chanson,dutch house,drill,neo-synthpop,pop venezolano,trance,funk rj,gym phonk,neon pop punk,dancehall,brooklyn drill,pixel,turkish hip hop,russian hip hop,classic texas country,north carolina hip hop,k-rap,industrial metal,classic oklahoma country,movie tunes,plugg,sheffield indie,anime rock,britpop,baroque pop,sertanejo pop,indian instrumental,country dawn,atl trap,downtempo,urbano chileno,latin viral pop,tamil pop,australian rock,old school thrash,latin christian,escape room,thrash metal,symphonic rock,chicago drill,girl group,reggae,dutch edm,pop argentino,punjabi hip hop,southern rock,dutch hip hop,turkish trap,sophisti-pop,rap rock,modern blues rock,polish trap,pittsburgh rap,candy pop,lilith,canadian rock,aesthetic rap,melodic drill,otacore,thai pop,shoegaze,new americana,philly rap,kleine hoerspiel,rap latina,sad lo-fi,rockabilly,compositional ambient,trip hop,alternative dance,phonk brasileiro,modern indie pop,screamo,neo-psychedelic,lo-fi study,la indie,afropop,funk paulista,roots reggae,chill house,acoustic pop,nyc rap,musica chihuahuense,nova mpb,bossa nova,afrofuturism,world worship,madchester,socal pop punk,merseybeat,funk consciente,groove metal,classic italian pop,spanish pop rock,power metal,rock nacional brasileiro,pixie,industrial rock,rap marseille,tennessee hip hop,lo-fi indie,tejano,ska argentino,dutch pop,german dance,sad rap,lounge,filter house,german techno,vapor trap,danish pop,trap funk,indie pop rap,florida drill,german metal,easy listening,cancion melodica,tech house,hyperpop,baton rouge rap,classic country pop,pop flamenco,pop edm,children's music,classic bollywood,irish rock,color noise,swedish hip hop,forro,rap conciencia,lo-fi beats,roots rock,uk post-punk,rap canario,german rock,adoracao,grime,show tunes,lullaby,ohio hip hop,skate punk,kentucky hip hop,sufi,jazz,speed metal,broadway,country pop,drill espanol,southern soul,meme rap,samba,la pop,spanish rock,neo-classical,urbano mexicano,australian hip hop,tollywood,rap napoletano,turkish alt pop,noise pop,flamenco urbano,hollywood,russian pop,v-pop,cumbia villera,new jack swing,new french touch,brooklyn indie,norwegian pop,electric blues,indie hip hop,deep house,hamburg hip hop,swedish electropop,swedish trap pop,electro latino,uk alternative pop,canadian trap,cumbia sonidera,pop emo,industrial,cloud rap francais,japanese singer-songwriter,complextro,british blues,salsa puertorriquena,turbo folk,deep underground hip hop,mollywood,czsk hip hop,french indie pop,latin worship,healing hz,vallenato,indonesian singer-songwriter,glitchcore,weirdcore,country rap,oxford indie,gym hardstyle,pakistani hip hop,neue deutsche harte,video game music,azontobeats,environmental,uk metalcore,symphonic metal,canadian singer-songwriter,new rave,jam band,electro,meme,electronic trap,classic j-pop,arrochadeira,jazz blues,french rock,bow pop,ambient pop,dreamo,tamil hip hop,coverchill,hare krishna,nigerian hip hop,stutter house,brazilian reggae,indonesian pop rock,bachata dominicana,cantopop,mexican indie,edmonton indie,classic swedish pop,background piano,bubblegrunge,chillhop,blues,mambo chileno,polish pop,russian trap,jazz pop,german drill,classic canadian rock,australian psych,schlager,hindi hip hop,el paso indie,reggae rock,golden age hip hop,scandipop,indie garage rock,arabesk,comic,belgian edm,melbourne bounce international,turkce drill
pop,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rap,622050,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rock,3895985,8333828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urbano latino,2778822,109746,13815758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hip hop,1102735,6,7653487,178944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trap latino,3067370,105522,13964800,1,180310,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dance pop,1,140,6930049,530236,256166,770955,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggaeton,2742320,133504,13859244,2,186798,4,417280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modern rock,903870,8323580,27,12712960,9148260,13268352,2777865,12494160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latin pop,672,908622,3053200,77,1278862,3109616,22220,54,2210733,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
