genre_name,playlist_name,spotify_id
pop,Pop Rising,37i9dQZF1DWUa8ZRTfalHk
rap,RapCaviar,37i9dQZF1DX0XUsuxWHRQd
rock,""" Rocky Aur Rani Ki Prem Kahani "" Movie Songs ( All Songs )",4lBVaWQBH9sTeVSHljW5GN
urbano latino,Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF
hip hop,Hip-Hop Drive,37i9dQZF1DWUFmyho2wkQU
trap latino,Trap Latino,3ZvItbyMgLGgGfDb0uTuv3
dance pop,Dance Pop,1EBV4HmtKIB5k73NVR0vHB
reggaeton,Reggaeton 2023 😍 🔥,03sDEv7FN58Mb9CJOs1Tgn
modern rock,Modern Rock,37i9dQZF1DX1helbHcrYM1
latin pop,Latin Pop Classics,37i9dQZF1DX6ThddIjWuGT
classic rock,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz
musica mexicana,Los Que Mandan,37i9dQZF1DXb0COFso7q0D
pov: indie,The Sound of pov: indie,3ByKGRaNhQrtrvuGdjQ2Vf
permanent wave,The Sound of Permanent Wave,4EYSGTuqe9cVfSVpX4gtGv
alternative metal,Alternative Metal,37i9dQZF1DWY5ai7gxfuaS
corrido,Corridos Perrones,37i9dQZF1DX2shzuwwKw0y
trap,trap,0OQDftXSL6FUhpUoibaM9g
filmi,Filmi songs,34hxBrCNfnEI9hT5wOTP6z
nueva musica mexicana,Nueva Música Mexicana,37i9dQZF1DX6Adf5JEwIPs
k-pop,K-Pop ON! (온),37i9dQZF1DX9tPFwDMOaN1
album rock,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6
edm,EDM Music 2023 (Top 100),2e3dcRuo9uDH6qD3NOGKAL
contemporary country,The Sound of Contemporary Country,0VZfpqcbBUWC6kpP1vVrvA
soft rock,Soft Rock,37i9dQZF1DX6xOPeSOGone
pop rap,Pop Rap,5XJnNU83ybmG6SSza1BF7I
norteno,Norteño Sax,37i9dQZF1DWSRuK6ajtwlC
pop dance,POP • DANCE • RIDDIM • INDIE POP • ELECTRONIC • EDM • LATIN POP • R&B POP,70LV97CPbP5DhbxHHvcQxO
hard rock,Hard Rock,37i9dQZF1DX1X7WV84927n
sierreno,sad sierreño,37i9dQZF1DWZQGZ7yvpH00
canadian pop,Canadian Pop Radio Hits,5EF9c7dYtkWYnBsMgqvuTV
sad sierreno,sad sierreño,37i9dQZF1DWZQGZ7yvpH00
mellow gold,Mellow Classics,37i9dQZF1DWTQwRw56TKNc
uk pop,Rap UK,37i9dQZF1DX6PKX5dyBKeq
nu metal,Nu Metal Era,37i9dQZF1DXcfZ6moR6J0G
desi pop,desi bops,7uc9PITauLrbEJdnPyjf31
country,Country Top 50,37i9dQZF1DX7aUUBCKwo4Y
melodic rap,Melodic Rap ✍️🔥,32K3iIu1DZ2LeDudB4qjh9
post-grunge,Post-Grunge Society,37i9dQZF1DWVwr24yj95lH
modern bollywood,Bollywood Dance Music,37i9dQZF1DX8xfQRRX1PDm
banda,La Reina: Éxitos de la Música Mexicana,37i9dQZF1DX905zIRtblN3
alternative rock,Essential Alternative,37i9dQZF1DX9GRpeH4CL0S
sertanejo universitario,Sertanejo Universitário 2023 - Mais Tocados,6GmEIXxkJq8Aslr8XcbQ1s
art pop,anti pop,37i9dQZF1DWWqNV5cS50j6
singer-songwriter,Singer Songwriter,3C0aSwAQLci81tIuPeqNNS
country road,Country Road Trip 🤘,2l3Ipf54bXStgnKyeiWORu
atl hip hop,Atlanta Knows Music,37i9dQZF1DWWuQ0Pee2UTO
colombian pop,Viva Latino,37i9dQZF1DX10zKzsJ2jva
corridos tumbados,Corridos Tumbados,37i9dQZF1DWWhMyyrqZlaY
french hip hop,This is Frequency,37i9dQZF1DWVgsJtp58d1t
urban contemporary,Urban Contemporary Gospel Playlist,6qm25ncYRw2ymgCiLw9Y8n
alt z,The Sound of Alt Z,6TySxsLwRVYqEh7LZ6fyq8
reggaeton colombiano,REGGAETON COLOMBIANO 🍑 ,5KDxfXA0ZJEaxfbII6oxkA
arrocha,Arrocha 2023⭐As Mais Ouvidas - Julho 2023 - Thiago Aquino - Tierry - Toque Dez | Pablo | Nadson,142IOTyDkbauSlZDFOV8yF
pop urbaine,Pop urbaine,3Vw1TOEIitG4Z2SF6FGry0
southern hip hop,Southern Hip Hop,4lcyWQDOzPfcbZrcBI3FOW
mexican pop,Mexican POP music🎶,1f1sKinduvgUCbFVQFmx5u
indietronica,Indietronica Disco,37i9dQZF1DX5ulsyQdTxii
sertanejo,Sertanejo 2023 | Mais Tocadas,1082o5fC8w5wveUxiA4FA8
latin alternative,Latin Indie Classics,37i9dQZF1DX8RvHJklfhit
gangster rap,Gangster Rap Deutsch,1qXg9ck25tBRxeXsj8mbDG
k-pop girl group,K-Pop Girl Groups <3,17zE7uFrbHy7WbwuPhkDjm
pop punk,Pure Pop Punk,37i9dQZF1DXasneILDRM7B
j-pop,Tokyo Super Hits! ,37i9dQZF1DXafb0IuPwJyF
rock en espanol,Rock en Español,37i9dQZF1DWYN0zdqzbEwl
new wave pop,Is it New Wave?,37i9dQZF1DX3Gj7nguS95W
ranchera,Rancheras 100% Mexicanas 🇲🇽 Mariachi éxitos 2023 🇲🇽 Música Mexicana,3ekTlsTPJVrmzXDOUMHnAp
german hip hop,GERMAN HIP HOP,4SG18Qgu0Ho57hL5KHqZos
chicago rap,Chicago Rap,4rNYyhTM9x4wDPT4Vz3Bmk
k-pop boy group,K-POP BOYS GROUPS,52IzaZ82pzPs7raaWjwspS
soul,Soul Coffee,37i9dQZF1DXaXDsfv6nvZ5
heartland rock,Heartland Country,37i9dQZF1DX5iKSDtVcf7Q
electro house,Electro House 2023 🔥,4QjYVKQOi6WzYlfCiqGEag
neo mellow,Mellow Classics,37i9dQZF1DWTQwRw56TKNc
italian pop,Italian Pop,0lvwSeY2Og8XyileVyWZ1v
latin hip hop,Latin Hip Hop,37Ll0vSHszawPc5MQASe1s
latin arena pop,The Sound of Latin Arena Pop,59qMoqvlNat6Knc0feSWJn
agronejo,AGRONEJO ,1ZL8qBPT9vhRAQxPsu1e7m
latin rock,Latin Rock,5CjRakVHtgZU7fjOlHyzp4
electropop,ElectroPop,37i9dQZF1DX1JKB9ugFP7X
pop rock,Pop Rock,37i9dQZF1DXatFAWyNT5ad
canadian hip hop,RapCaviar,37i9dQZF1DX0XUsuxWHRQd
uk dance,Uk Dance Top 10,5kSUdBGR4mde8sByWboK0z
conscious hip hop,Conscious Hip-Hop,13lAvSxOw1uCX9wqeVFykE
rap metal,RAP METAL,6CTIvv7IVwwUE781bmb6mf
new wave,new wave ★☆★☆,6zc3IrllWGx4ZWJ0MmWPC6
house,Housewerk,37i9dQZF1DXa8NOEUWPn9W
indonesian pop,Top Male Artists of 2019 Indonesia,37i9dQZF1DXbc4fNXqfjT8
modern alternative rock,ALT NOW,37i9dQZF1DWVqJMsgEN0F4
toronto rap,Northern Bars,37i9dQZF1DX59ogDi1Z2XL
folk rock,Folk Rock Favorites,37i9dQZF1DXat5j4Lk8UEj
indie rock,indie rock,0qYAqOsMGJPntjVEKV5WOF
trap argentino,TRAP ARGENTINO🇦🇷,1797AMCWj5ITnfdPJoaIX6
new romantic,new romantics vibes?,21bdfypNu1Ygw9nOmleHIF
metal,Metal🤘🏻,3amsAAZS7PfJyenaj92MrY
bedroom pop,Bedroom Pop,37i9dQZF1DXcxvFzl58uP7
east coast hip hop,East Coast Hip Hop,2uoCPhbyzjpEegs1oFAGSC
indie pop,Lorem,37i9dQZF1DXdwmD5Q7Gxah
italian hip hop,Italian hip hop 🇮🇹,13TdcMsgYtcNs2hXsSq4Qy
afrobeats,AFROBEATS 2023🌴🔥,4HXMPRVKOAfzoUwws8fqHW
